,X14G2.6M.2,X14G3.7M.2,X14G4.8M.1,X14G4.8M.2,X7G1.1M.1,X7G1.1M.merged,X7G3.3M.2,X7G4.4M.2
VALIDATED NUCLEAR ESTROGEN RECEPTOR ALPHA NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED NUCLEAR ESTROGEN RECEPTOR ALPHA NETWORK,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
BETA2 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA2 INTEGRIN CELL SURFACE INTERACTIONS,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
DNA REPLICATION%PANTHER PATHWAY%P00017,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
GLYCOLYSIS%SMPDB%SMP0063478,-0.172541744,0.500749452,-0.095238095,0.833711262,-0.147186147,0.072255929,0.56462585,0.129251701
PENTOSE PHOSPHATE PATHWAY%PATHWHIZ%PW064563,-0.906040268,0.248322148,-0.959731544,0.852348993,-0.651006711,-0.302013423,0.32885906,1
GLUCONEOGENESIS%PATHWHIZ%PW064594,-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
COMPLEMENT PATHWAY%PATHWHIZ%PW064819,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
ALTERNATIVE COMPLEMENT PATHWAY%SMPDB%SMP0063815,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
LECTIN-INDUCED COMPLEMENT PATHWAY%SMPDB%SMP0063898,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CLASSICAL COMPLEMENT PATHWAY%PATHWHIZ%PW065057,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
WARBURG EFFECT%SMPDB%SMP0086930,-0.666351756,0.110445205,-0.604358655,0.511388018,-0.096814858,0.192129092,0.547945205,0.517241379
FRUCTOSE AND MANNOSE DEGRADATION%SMPDB%SMP0087296,0.180969629,0.42953668,-0.490753912,0.162162162,0.682432432,0.777027027,0.404761905,0.492422329
GLYCOLYSIS%PATHWHIZ%PW088336,-0.290192453,0.372515639,-0.236428209,0.359487319,0.109877433,0.255381605,0.38596816,0.494469497
GLUCONEOGENESIS%SMPDB%SMP0087318,-0.290192453,0.372515639,-0.236428209,0.359487319,0.109877433,0.255381605,0.38596816,0.494469497
INOSITOL METABOLISM%PATHWHIZ%PW088354,-0.677852349,0.436241611,0.89261745,0.825503356,-0.55704698,-0.570469799,0.973154362,-0.22147651
PENTOSE PHOSPHATE PATHWAY%PATHWHIZ%PW088358,-0.583892617,0.610738255,-0.651006711,0.208053691,0.798657718,0.583892617,0.503355705,0.919463087
WARBURG EFFECT%PATHWHIZ%PW088382,-0.615437158,0.15497076,-0.692037954,0.166010499,-0.031400966,0.291111111,0.340661642,0.560164968
WARBURG EFFECT%SMPDB%SMP0087420,-0.906040268,0.248322148,-0.959731544,0.852348993,-0.651006711,-0.302013423,0.32885906,1
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW120529,-0.428639165,-0.06363453,-0.459459459,0.405405405,0.824324324,0.533783784,-0.378378378,-0.702702703
GLYCOGEN STORAGE DISEASE TYPE 1A (GSD1A) OR VON GIERKE DISEASE%SMPDB%SMP0120488,-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
GLUCOSE-6-PHOSPHATE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0120583,-0.906040268,0.248322148,-0.959731544,0.852348993,-0.651006711,-0.302013423,0.32885906,1
RIBOSE-5-PHOSPHATE ISOMERASE DEFICIENCY%SMPDB%SMP0120584,-0.906040268,0.248322148,-0.959731544,0.852348993,-0.651006711,-0.302013423,0.32885906,1
TRANSALDOLASE DEFICIENCY%SMPDB%SMP0120585,-0.906040268,0.248322148,-0.959731544,0.852348993,-0.651006711,-0.302013423,0.32885906,1
"GLYCOGENOSIS, TYPE VII. TARUI DISEASE%SMPDB%SMP0120596",-0.172541744,0.500749452,-0.095238095,0.833711262,-0.147186147,0.072255929,0.56462585,0.129251701
PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY 1 (PEPCK1)%PATHWHIZ%PW121880,-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
"FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY%PATHWHIZ%PW121882",-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW121883,-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
FANCONI-BICKEL SYNDROME%PATHWHIZ%PW121892,-0.172541744,0.500749452,-0.095238095,0.833711262,-0.147186147,0.072255929,0.56462585,0.129251701
"GLYCOGENOSIS, TYPE IB%PATHWHIZ%PW121893",-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
"GLYCOGENOSIS, TYPE IC%PATHWHIZ%PW121894",-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
"GLYCOGENOSIS, TYPE IA. VON GIERKE DISEASE%PATHWHIZ%PW121901",-0.178426214,0.325225225,0.006756757,0.871621622,-0.272064099,0.074646075,0.560810811,0.256756757
GLYCOGEN STORAGE DISEASE TYPE 1A (GSD1A) OR VON GIERKE DISEASE%PATHWHIZ%PW121967,-0.290192453,0.372515639,-0.236428209,0.359487319,0.109877433,0.255381605,0.38596816,0.494469497
GLUCOSE-6-PHOSPHATE DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW122063,-0.583892617,0.610738255,-0.651006711,0.208053691,0.798657718,0.583892617,0.503355705,0.919463087
RIBOSE-5-PHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW122064,-0.583892617,0.610738255,-0.651006711,0.208053691,0.798657718,0.583892617,0.503355705,0.919463087
TRANSALDOLASE DEFICIENCY%SMPDB%SMP0120804,-0.583892617,0.610738255,-0.651006711,0.208053691,0.798657718,0.583892617,0.503355705,0.919463087
"GLYCOGENOSIS, TYPE VII. TARUI DISEASE%SMPDB%SMP0120815",-0.290192453,0.372515639,-0.236428209,0.359487319,0.109877433,0.255381605,0.38596816,0.494469497
PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY 1 (PEPCK1)%SMPDB%SMP0120843,-0.290192453,0.372515639,-0.236428209,0.359487319,0.109877433,0.255381605,0.38596816,0.494469497
FRUCTOSURIA%PATHWHIZ%PW122105,0.180969629,0.42953668,-0.490753912,0.162162162,0.682432432,0.777027027,0.404761905,0.492422329
"FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY%PATHWHIZ%PW122106",-0.290192453,0.372515639,-0.236428209,0.359487319,0.109877433,0.255381605,0.38596816,0.494469497
